,title,soc_code,section_body
64,"Broadcast, Sound, and Video Technicians",27-4011,overall employment broadcast sound video technician project grow percent fast average occupation opening broadcast sound video technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment broadcast sound video technician vary occupation see table continue increase audio video budget use video conference reduce travel cost communicate worldwide office client especially people work remote hybrid environment addition increase use digital sign lead high demand audio video technician lighting technician continue need work lighting associated equipment use photography film production however lighting technician small occupation fast growth expect result new job projection decade sound recording motion picture industry continue need sound engineering technician improve sound quality show movie
65,"Broadcast, Sound, and Video Technicians",27-4012,overall employment broadcast sound video technician project grow percent fast average occupation opening broadcast sound video technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment broadcast sound video technician vary occupation see table continue increase audio video budget use video conference reduce travel cost communicate worldwide office client especially people work remote hybrid environment addition increase use digital sign lead high demand audio video technician lighting technician continue need work lighting associated equipment use photography film production however lighting technician small occupation fast growth expect result new job projection decade sound recording motion picture industry continue need sound engineering technician improve sound quality show movie
66,"Broadcast, Sound, and Video Technicians",27-4014,overall employment broadcast sound video technician project grow percent fast average occupation opening broadcast sound video technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment broadcast sound video technician vary occupation see table continue increase audio video budget use video conference reduce travel cost communicate worldwide office client especially people work remote hybrid environment addition increase use digital sign lead high demand audio video technician lighting technician continue need work lighting associated equipment use photography film production however lighting technician small occupation fast growth expect result new job projection decade sound recording motion picture industry continue need sound engineering technician improve sound quality show movie
67,"Broadcast, Sound, and Video Technicians",27-4015,overall employment broadcast sound video technician project grow percent fast average occupation opening broadcast sound video technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment broadcast sound video technician vary occupation see table continue increase audio video budget use video conference reduce travel cost communicate worldwide office client especially people work remote hybrid environment addition increase use digital sign lead high demand audio video technician lighting technician continue need work lighting associated equipment use photography film production however lighting technician small occupation fast growth expect result new job projection decade sound recording motion picture industry continue need sound engineering technician improve sound quality show movie
68,Budget Analysts,13-2031,employment budget analyst project grow percent slow average occupation despite limited employment growth opening budget analyst project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment calls efficient use public fund lead continue demand budget analyst estimate program cost develop budget explain finding legislator public demand worker somewhat tie government funding allocate position however budget analyst manage resource allocation need even time tight budget
69,Butchers,51-3021,employment butcher project decline percent despite decline employment opening butcher project average decade opening expect result need replace worker transfer occupation exit labor force retire employment long term food purchasing pattern trend towards pre make pre packaged meat product cut trend expect continue decade lead project employment decline butcher meat cutter
70,Career and Technical Education Teachers,25-1194,overall employment career technical education teacher project grow percent slow average occupation despite limited employment growth opening career technical education teacher project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth expect projection decade due continue demand career technical education program middle school high school postsecondary institution however growth expect reduce somewhat school continue require student take academic class addition public school often depend government funding career technical education program budget program reduce employment growth career technical education teacher limit
71,Career and Technical Education Teachers,25-2023,overall employment career technical education teacher project grow percent slow average occupation despite limited employment growth opening career technical education teacher project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth expect projection decade due continue demand career technical education program middle school high school postsecondary institution however growth expect reduce somewhat school continue require student take academic class addition public school often depend government funding career technical education program budget program reduce employment growth career technical education teacher limit
72,Career and Technical Education Teachers,25-2032,overall employment career technical education teacher project grow percent slow average occupation despite limited employment growth opening career technical education teacher project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth expect projection decade due continue demand career technical education program middle school high school postsecondary institution however growth expect reduce somewhat school continue require student take academic class addition public school often depend government funding career technical education program budget program reduce employment growth career technical education teacher limit
73,Carpenters,47-2031,employment carpenter project grow percent slow average occupation despite limited employment growth opening carpenter project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment population growth result new home constructionone large segment employ carpenterswhich create job carpenter construction factory nonresidential building also project result new job decade however popularity modular prefabricate component home business reduce need carpenter build new structure roof insulation wall component well entire building manufacture separate facility assemble onsite
74,Cartographers and Photogrammetrists,17-1021,employment cartographer photogrammetrist project grow percent slow average occupation despite limited employment growth opening cartographer photogrammetrist project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment use map government planning lead employment growth cartographer photogrammetrist also need map locate area require help natural disaster often use geographic information systems gis however gis relate technology increase worker productivity limit employment growth occupation
75,Cashiers,41-2011,employment cashier project decline percent despite decline employment opening cashier project average decade opening expect result need replace worker transfer occupation exit labor force retire employment although retail sale expect increase projection decade employment cashier expect decline advance technology use self service checkout stand retail store increase online sale
76,Chefs and Head Cooks,35-1011,employment chef head cook project grow percent much fast average occupation opening chef head cook project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment income growth expect result great demand high quality dish variety dining venue result restaurant dining place expect open satisfy consumer desire dine consumer continue demand healthy meal make scratch restaurant cafeteria grocery store place sell food ensure high quality dish establishment hire experienced chef oversee food preparation
77,Chemical Engineers,17-2041,employment chemical engineer project grow percent much fast average occupation opening chemical engineer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand chemical engineer service depend largely demand product various manufacturing industry many chemical engineer work manufacture firm provide product firm example environmental sustainability concern lead chemistry manufacturing firm research alternative fertilizer result need chemical engineer addition chemical engineering continue migrate field nanotechnology alternative energy biotechnology thereby help sustain demand engineering service many manufacturing industry however small occupation fast growth result new job projection decade
78,Chemical Technicians,19-4031,employment chemical technician project grow percent fast average occupation opening chemical technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment chemical technician continue demand test new material product develop chemist chemical engineer also need monitor quality chemical product process addition increase demand technician expect due great interest environmental issue pollution control clean energy sustainability
79,Chemists and Materials Scientists,19-2031,overall employment chemist material scientist project grow percent fast average occupation opening chemist material scientist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment pharmaceutical medicine manufacturing chemist need develop nanotechnology medicinal use chemical manufacturing worker need improve environmental safety workplace community material scientist need develop cheap safe well quality material variety use electronic energy transportation
80,Chemists and Materials Scientists,19-2032,overall employment chemist material scientist project grow percent fast average occupation opening chemist material scientist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment pharmaceutical medicine manufacturing chemist need develop nanotechnology medicinal use chemical manufacturing worker need improve environmental safety workplace community material scientist need develop cheap safe well quality material variety use electronic energy transportation
81,Childcare Workers,39-9011,employment childcare worker project grow percent fast average occupation opening childcare worker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment much project employment growth occupation due recovery covid recession parent guardian work continue need assistance childcare worker addition demand preschool childcare facility consequently childcare worker remain strong early childhood education widely recognize important child intellectual emotional development however increase cost childcare limit demand childcare worker
82,Chiropractors,29-1011,employment chiropractor project grow percent fast average occupation opening chiropractor project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand expect increase chiropractic service nonsurgical drug free way treat pain improve overall wellness rise interest integrative complementary healthcare lead acceptance chiropractic treatment back neck limb involve joint result chiropractor increasingly work healthcare worker physician physical therapist referral complementary care opportunity chiropractor also create continue aging large baby boom generation old adult likely young people neuromusculoskeletal joint problem continue seek treatment condition lead long active life
83,Civil Engineering Technologists and Technicians,17-3022,employment civil engineering technologist technician project show little no change despite limited employment growth opening civil engineering technologist technician project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment need preserve repair upgrade countrys infrastructure continue increase bridge road levee airport dam need rebuild maintain enhance addition waste treatment plant need help clean nation waterway water system must maintain reduce eliminate loss potable water civil engineer plan design oversee work civil engineering technologist technician need assist engineer project civil engineering technologist technician also find work assist civil engineer renewable energy project example technologist technician assist develop wind farm help engineer minimize project cost associate sizeable dimension weight wind turbine however employment occupation limit improved drafting tool computer aid design cad software increase worker productivity
84,Civil Engineers,17-2051,employment civil engineer project grow percent fast average occupation opening civil engineer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment continue investment u infrastructure civil engineer need manage project meet societys need upgrade bridge road water system building structure civil engineer also need oversee renewable energy project construction wind farm solar array project gain approval public project depend funding local government employment civil engineer fluctuate availability project fund
85,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1031,overall employment claim adjuster appraiser examiner investigator project decline percent despite decline employment opening claim adjuster appraiser examiner investigator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment technology expect automate task worker currently perform example computer software evaluate photograph damage property calculate estimate claim amount addition datum collection processing speed continue increase improve efficiency make worker productive number natural disaster flood fire influence demand claim adjuster property casualty insurance future increase number natural disaster could result employment growth claim adjuster field
86,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1032,overall employment claim adjuster appraiser examiner investigator project decline percent despite decline employment opening claim adjuster appraiser examiner investigator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment technology expect automate task worker currently perform example computer software evaluate photograph damage property calculate estimate claim amount addition datum collection processing speed continue increase improve efficiency make worker productive number natural disaster flood fire influence demand claim adjuster property casualty insurance future increase number natural disaster could result employment growth claim adjuster field
87,Clinical Laboratory Technologists and Technicians,29-2010,employment clinical laboratory technologist technician project grow percent fast average occupation opening clinical laboratory technologist technician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment increase population old adult expect lead great need diagnose medical condition cancer type diabetes laboratory procedure prenatal testing various type genetic condition also increasingly common clinical laboratory technologist technician demand use maintain equipment need diagnosis treatment
88,Coaches and Scouts,27-2022,employment coach scout project grow percent much fast average occupation opening coach scout project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment much project employment growth occupation due recovery covid recession likely occur early projection decade grow interest college sport professional sport sport recreation instruction increase demand coach scout college must attract good athlete remain competitive successful team help college enhance reputation recruit future student raise donation alumnus therefore college rely scout recruit good high school athlete geographic shift population lead increase number professional sport team professional sport league expand new united states form new team job opportunity prospective coach scout growth demand sport instruction expect rise concern lack physical activity continue focus public
89,"Compensation, Benefits, and Job Analysis Specialists",13-1141,employment compensation benefit job analysis specialist project grow percent fast average occupation opening compensation benefit job analysis specialist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment organizations continue hire benefit specialist analyze select update benefit policy employee wellness program popular way reduce healthcare cost organization need benefit specialist design evaluate administer program addition organization must offer competitive compensation package attract keep highly qualified worker allocate compensation fund effectively many organization use strategy pay performance plan include bonus pay leave incentive part compensation package organization need specialist analyze compensation policy plan ensure competitive cost effective
90,Compensation and Benefits Managers,11-3111,employment compensation benefit manager project grow percent slow average occupation despite limited employment growth opening compensation benefit manager project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment organizations continue focus reduce compensation benefit cost introduce pay performance health wellness program organization need manager evaluate direct compensation benefit policy plan however organization contract portion compensation benefit function human resource consulting firm order reduce cost gain access technical expertise example reduce administrative cost organization commonly use outside vendor processing payroll insurance claim consulting firm automate task operate call center handle employee question thereby reduce need compensation benefit manager
91,Computer and Information Research Scientists,15-1221,employment computer information research scientist project grow percent much fast average occupation opening computer information research scientist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment research development conduct computer information research scientist turn idea technology demand new well technology grow demand computer information research scientist grow well rapid growth data collection business lead increase need data mining service computer information research scientist need write algorithm help business make sense large amount datum grow emphasis cybersecurity also lead new job computer information research scientist need find innovative way prevent potential cyberattack addition increase demand software increase need computer information research scientist create new programming language make software write efficient
92,Computer and Information Systems Managers,11-3021,employment computer information system manager project grow percent much fast average occupation opening computer information system manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand computer information system manager grow organization increasingly rely information technology service require worker plan oversee computer hardware software need employment growth project result need bolster cybersecurity computer information system business use cybersecurity threat increase implement robust security policy especially critical organization manage sensitive information
93,Computer Hardware Engineers,17-2061,employment computer hardware engineer project grow percent fast average occupation opening computer hardware engineer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand computer hardware engineer expect grow worker need design part manufacture product use processor component household appliance medical device automobile new technology expand however expect uptick focus software innovation compare hardware temper demand engineer
94,Computer Network Architects,15-1241,employment computer network architect project grow percent fast average occupation opening computer network architect project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand computer network architect grow firm continue design build new information technology network upgrade existing one continued expansion cloud computing increase demand worker ensure network properly design transition new network proceed smoothly however demand computer network architect expect limit projection decade computer network task monitor system troubleshoot network problem continue automate consolidated addition business especially small one minimal requirement find cost effective contract outside firm service rather hire computer network architect directly
95,Computer Programmers,15-1251,employment computer programmer project decline percent despite decline employment opening computer programmer project average decade opening expect result need replace worker transfer occupation exit labor force retire employment computer programming work continue automate help computer programmer become efficient task many leverage technology automate repetitive task code formatting save time money automation routine work could allow computer programmer focus task strategic planning activity not automate addition computer programming task commonly computer occupation developer analyst
96,Computer Support Specialists,15-1231,overall employment computer support specialist project grow percent fast average occupation opening computer support specialist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment computer support specialist need provide technical help training user new hardware software however demand offset somewhat organization continue implement automated tool chatbot troubleshoot business especially small one minimal information technology requirement find cost effective contract outside firm service rather hire computer support specialist directly
97,Computer Support Specialists,15-1232,overall employment computer support specialist project grow percent fast average occupation opening computer support specialist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment computer support specialist need provide technical help training user new hardware software however demand offset somewhat organization continue implement automated tool chatbot troubleshoot business especially small one minimal information technology requirement find cost effective contract outside firm service rather hire computer support specialist directly
98,Computer Systems Analysts,15-1211,employment computer system analyst project grow percent fast average occupation opening computer system analyst project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment organization across economy continue rely information technology computer system analyst hire design install new computer system small firm minimal requirement find cost effective contract outside firm service rather hire computer system analyst directly
99,Conservation Scientists and Foresters,19-1031,overall employment conservation scientist forester project grow percent fast average occupation opening conservation scientist forester project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment conservation scientist forester vary occupation see table change weather condition development previously unused land contribute increasingly devastating costly fire recent prevention suppression wildfire become primary concern manage forest rangeland increase number forest fire people live near forest land forester conservation scientist need mitigate grow humanitarian environmental impact forest fire
100,Conservation Scientists and Foresters,19-1032,overall employment conservation scientist forester project grow percent fast average occupation opening conservation scientist forester project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment conservation scientist forester vary occupation see table change weather condition development previously unused land contribute increasingly devastating costly fire recent prevention suppression wildfire become primary concern manage forest rangeland increase number forest fire people live near forest land forester conservation scientist need mitigate grow humanitarian environmental impact forest fire
101,Construction and Building Inspectors,47-4011,employment construction building inspector project decline percent despite decline employment opening construction building inspector project average decade opening expect result need replace worker transfer occupation exit labor force retire employment increase use remote inspection reduce need inspector local government however continue public interest safety desire improve quality construction among factor expect create demand inspector
102,Construction Equipment Operators,47-2071,overall employment construction equipment operator project grow percent fast average occupation opening construction equipment operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction equipment operator vary occupation see table spend infrastructure expect increase result new job decade across country many road bridge water sewer system need repair addition population growth require new infrastructure road sewer line project expect generate job
103,Construction Equipment Operators,47-2072,overall employment construction equipment operator project grow percent fast average occupation opening construction equipment operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction equipment operator vary occupation see table spend infrastructure expect increase result new job decade across country many road bridge water sewer system need repair addition population growth require new infrastructure road sewer line project expect generate job
104,Construction Equipment Operators,47-2073,overall employment construction equipment operator project grow percent fast average occupation opening construction equipment operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction equipment operator vary occupation see table spend infrastructure expect increase result new job decade across country many road bridge water sewer system need repair addition population growth require new infrastructure road sewer line project expect generate job
105,Construction Laborers and Helpers,47-2061,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
106,Construction Laborers and Helpers,47-3011,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
107,Construction Laborers and Helpers,47-3012,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
108,Construction Laborers and Helpers,47-3013,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
109,Construction Laborers and Helpers,47-3014,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
110,Construction Laborers and Helpers,47-3015,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
111,Construction Laborers and Helpers,47-3016,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
112,Construction Laborers and Helpers,47-3019,overall employment construction laborer helper project grow percent fast average occupation opening construction laborer helper project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment construction laborer helper vary occupation see table construction laborer work field construction demand laborer mirror level overall construction activity repair replace nation infrastructure road water line result steady demand laborer employment growth specific type construction helper expect drive construction renovation home nonresidential structure however shift preference material prefabricated component continue reduce demand helper carpenter electrician construction worker
113,Construction Managers,11-9021,employment construction manager project grow percent fast average occupation opening construction manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment construction manager expect need overall construction activity expand projection decade population business growth result construction new residence office building retail outlet hospital school restaurant structure also need improve portion national infrastructure spur employment growth road bridge sewer pipe system upgrade replace addition continue emphasis retrofit building make energy efficient create job general contractor likely manage renovation upgrading building oversee new large scale construction project construction process building technology become complex require great oversight spur demand specialized management personnel even technology make construction manager productive
114,Cooks,35-2011,overall employment cook project grow percent much fast average occupation opening cook project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment cook vary occupation see table project employment growth occupation due recovery covid recession pandemic restriction significant effect employment level cook population income growth expect result great consumer demand food variety dining place people continue eat buy takeout meal food deliver new restaurant cafeteria catering service expect open require cook prepare meal increase consumer demand addition consumer continue prefer healthy food fast service restaurant grocery store dining venue prepare high quality meal place many manager chef require experienced cook employment fast food cook project decline effort streamline operation expect reduce demand cook fast food establishment example automate system employment worker prepare serve food customer limit need fast food cook
115,Cooks,35-2012,overall employment cook project grow percent much fast average occupation opening cook project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment cook vary occupation see table project employment growth occupation due recovery covid recession pandemic restriction significant effect employment level cook population income growth expect result great consumer demand food variety dining place people continue eat buy takeout meal food deliver new restaurant cafeteria catering service expect open require cook prepare meal increase consumer demand addition consumer continue prefer healthy food fast service restaurant grocery store dining venue prepare high quality meal place many manager chef require experienced cook employment fast food cook project decline effort streamline operation expect reduce demand cook fast food establishment example automate system employment worker prepare serve food customer limit need fast food cook
116,Cooks,35-2013,overall employment cook project grow percent much fast average occupation opening cook project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment cook vary occupation see table project employment growth occupation due recovery covid recession pandemic restriction significant effect employment level cook population income growth expect result great consumer demand food variety dining place people continue eat buy takeout meal food deliver new restaurant cafeteria catering service expect open require cook prepare meal increase consumer demand addition consumer continue prefer healthy food fast service restaurant grocery store dining venue prepare high quality meal place many manager chef require experienced cook employment fast food cook project decline effort streamline operation expect reduce demand cook fast food establishment example automate system employment worker prepare serve food customer limit need fast food cook
117,Cooks,35-2014,overall employment cook project grow percent much fast average occupation opening cook project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment cook vary occupation see table project employment growth occupation due recovery covid recession pandemic restriction significant effect employment level cook population income growth expect result great consumer demand food variety dining place people continue eat buy takeout meal food deliver new restaurant cafeteria catering service expect open require cook prepare meal increase consumer demand addition consumer continue prefer healthy food fast service restaurant grocery store dining venue prepare high quality meal place many manager chef require experienced cook employment fast food cook project decline effort streamline operation expect reduce demand cook fast food establishment example automate system employment worker prepare serve food customer limit need fast food cook
118,Cooks,35-2015,overall employment cook project grow percent much fast average occupation opening cook project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment cook vary occupation see table project employment growth occupation due recovery covid recession pandemic restriction significant effect employment level cook population income growth expect result great consumer demand food variety dining place people continue eat buy takeout meal food deliver new restaurant cafeteria catering service expect open require cook prepare meal increase consumer demand addition consumer continue prefer healthy food fast service restaurant grocery store dining venue prepare high quality meal place many manager chef require experienced cook employment fast food cook project decline effort streamline operation expect reduce demand cook fast food establishment example automate system employment worker prepare serve food customer limit need fast food cook
119,Cooks,35-2019,overall employment cook project grow percent much fast average occupation opening cook project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment cook vary occupation see table project employment growth occupation due recovery covid recession pandemic restriction significant effect employment level cook population income growth expect result great consumer demand food variety dining place people continue eat buy takeout meal food deliver new restaurant cafeteria catering service expect open require cook prepare meal increase consumer demand addition consumer continue prefer healthy food fast service restaurant grocery store dining venue prepare high quality meal place many manager chef require experienced cook employment fast food cook project decline effort streamline operation expect reduce demand cook fast food establishment example automate system employment worker prepare serve food customer limit need fast food cook
120,Correctional Officers and Bailiffs,33-3011,overall employment correctional officer bailiff project decline percent despite decline employment opening correctional officer bailiff project average decade opening expect result need replace worker transfer occupation exit labor force retire employment lower incarceration rate prison population level expect reduce demand worker although correctional officer bailiff continue need change criminal law large effect many people arrest incarcerate face high cost keep people prison many government move toward law require short prison term alternative prison keep public safe community base program design rehabilitate prisoner limit risk repeat offense also reduce prisoner count
121,Correctional Officers and Bailiffs,33-3012,overall employment correctional officer bailiff project decline percent despite decline employment opening correctional officer bailiff project average decade opening expect result need replace worker transfer occupation exit labor force retire employment lower incarceration rate prison population level expect reduce demand worker although correctional officer bailiff continue need change criminal law large effect many people arrest incarcerate face high cost keep people prison many government move toward law require short prison term alternative prison keep public safe community base program design rehabilitate prisoner limit risk repeat offense also reduce prisoner count
122,Cost Estimators,13-1051,employment cost estimator project decline percent despite decline employment opening cost estimator project average decade opening expect result need replace worker transfer occupation exit labor force retire employment cost estimation software improve productivity worker require estimator amount work limit employment growth cost estimator however continue demand worker need accurate cost projection ensure product service profitable
